image,label
43761,6_00_0
18648,4_00_0
11990,6_00_0
31335,4_00_0
20188,2_a5_2
65356,4_00_0
39467,3_a9_3
59104,4_00_0
20837,4_00_0
34450,4_00_0
36251,4_00_0
32893,3_b7_1
55913,3_b7_1
43538,3_00_0
11724,6_00_0
59766,3_a9_1
17534,4_00_0
10252,5_b8_1
31492,4_00_0
55065,3_a9_2
18830,5_b7_1
64460,6_00_0
61507,4_00_0
15692,3_00_0
18590,2_a5_2
13271,2_a5_2
29941,4_00_0
25085,1_00_0
40139,3_00_0
34844,6_00_0
59783,4_00_0
42061,4_00_0
56572,5_b8_1
32138,3_00_0
54419,6_00_0
45656,2_a5_2
37575,6_a11_2
67332,3_00_0
53803,3_a9_2
59930,4_00_0
22004,3_00_0
46057,3_00_0
47685,4_00_0
17327,3_a9_1
27174,3_00_0
58860,3_00_0
41389,3_00_0
60800,4_00_0
55834,4_00_0
30867,6_00_0
10090,3_b7_1
19275,3_a9_3
26622,4_00_0
50388,4_00_0
24487,3_00_0
42333,3_00_0
37765,6_00_0
17259,3_a9_1
64615,1_00_0
33928,1_00_0
55690,1_00_0
21638,3_00_0
55889,5_00_0
27591,3_00_0
42822,1_00_0
51133,4_00_0
36449,5_a7_2
47328,6_a12_1
43929,6_a12_2
53667,1_00_0
18951,1_00_0
18982,1_00_0
10192,5_b8_1
38977,6_00_0
24383,6_00_0
65435,3_a9_3
22765,3_b7_1
56198,3_00_0
15411,3_b7_1
55580,3_00_0
56317,1_00_0
41695,5_b7_1
42651,1_00_0
54932,6_00_0
16767,3_b8_1
32834,3_00_0
45781,3_00_0
15010,6_00_0
52492,3_00_0
37944,3_00_0
56091,2_00_0
45899,6_00_0
42916,3_b6_1
24796,5_b7_1
22926,4_00_0
55811,6_00_0
10817,4_00_0
30512,4_00_0
41092,3_a9_1
53560,3_a9_1
44522,6_00_0
29480,2_00_0
52758,3_a9_1
41807,5_a7_2
13018,1_00_0
31581,3_00_0
62347,1_00_0
17187,5_b6_1
55282,6_00_0
43783,1_00_0
23178,6_00_0
13693,4_00_0
35111,3_b6_1
61397,3_00_0
15391,3_a9_1
31914,2_a5_2
23016,1_00_0
54718,3_00_0
55249,3_00_0
12344,5_a7_2
67177,4_00_0
21145,6_00_0
66598,3_00_0
54577,3_b7_1
32549,6_00_0
54411,4_00_0
47192,6_00_0
45190,3_a9_2
29939,4_00_0
62627,2_a5_2
51609,6_00_0
60864,3_00_0
14841,1_00_0
17569,3_00_0
30448,6_00_0
12679,5_b6_1
58844,4_00_0
29223,6_00_0
33322,3_00_0
44959,1_00_0
50845,4_00_0
41860,1_00_0
44561,5_b8_1
14468,4_00_0
34425,1_00_0
53160,6_00_0
58182,6_00_0
66597,1_00_0
15905,3_00_0
54420,3_a9_1
35119,6_00_0
10834,3_00_0
11314,5_a7_2
32027,3_00_0
17017,3_00_0
51332,6_00_0
44503,4_00_0
32879,3_a9_1
38461,3_00_0
46562,3_b3_1
55830,3_a9_2
48214,3_00_0
14879,3_00_0
15598,4_00_0
16607,6_00_0
27184,4_00_0
17883,5_00_0
58016,2_a5_2
55958,4_00_0
45928,4_00_0
24019,3_00_0
28014,3_a9_1
50533,6_00_0
55314,4_00_0
49346,4_00_0
35932,1_00_0
60976,5_b7_1
43078,5_b6_1
65620,6_00_0
53372,3_00_0
17592,3_00_0
41088,5_00_0
53377,3_00_0
52986,4_00_0
18644,3_00_0
25506,3_00_0
56320,3_00_0
11497,2_a5_2
57053,6_a12_2
20068,3_a9_2
19797,3_00_0
50660,4_00_0
67227,2_a5_2
