Backbone,Mixup,Mixup-w-csv,Val Score,Test Score,Comments,
Resnet50,x,x,0.9200058680280491,0.9095537650350581,3,
Resnet50,o,x,0.9176183630157752,0.916510386418684,2,
Resnet50,o,o,0.9205406409842636,0.9303286132322596,1,
densenet121,x,x,0.9143972068186483,0.8999184719489496,3,
densenet121,o,x,0.9213390840008213,0.9012125111096164,2,
densenet121,o,o,0.9263171277958707,0.9124055862895233,1,
efficientnetv2_s,x,x,0.8955596631751898,0.9096049802744605,3,
efficientnetv2_s,o,x,0.9179903959940926,0.9130244394707969,2,
efficientnetv2_s,o,o,0.9241576934737745,0.9268015682184828,1,
tf_mobilenetv3_small_minimal_100.in1k,x,x,0.9113669571340546,0.9163554207887032,2,
tf_mobilenetv3_small_minimal_100.in1k,o,x,0.9185552914942932,0.9043955379319375,3,
tf_mobilenetv3_small_minimal_100.in1k,o,o,0.9151835225772376,0.9187316828211277,1,
tf_mobilenetv3_large_minimal_100.in1k,x,x,0.9188017486723584,0.8908114616178157,3,
tf_mobilenetv3_large_minimal_100.in1k,o,x,0.9201251845983822,0.9185557304801891,2,
tf_mobilenetv3_large_minimal_100.in1k,o,o,0.9152281195904114,0.9299794089064675,1,
xception,x,x,0.9052649903666539,0.904276634695413,2,
xception,o,x,0.9071580162153173,0.9006329000255756,3,
xception,o,o,0.9048264530704454,0.9230333074410767,1,
inception_resnet_v2,x,x,0.9123684339211138,0.8953135245110052,3,
inception_resnet_v2,o,x,0.9079834521609011,0.9121964779109384,2,
inception_resnet_v2,o,o,0.9286952439632659,0.9325824332636227,1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
